ticker,strategy,total_return,buy_hold_return,avg_window_return,avg_sharpe,consistency,num_windows,winning_windows,beats_buy_hold,final_value,return_zscore,sharpe_zscore,composite_score
ADP,rsi_classic,8.90749496789242,4.952795516255439,0.0096612938257553,0.4792991864265558,0.4403973509933774,302,133,True,99074.9496789242,-0.3506104577112919,-0.5622632778384415,-0.09770318026756904
AVB,rsi_classic,6.742041437900956,4.469275433084239,0.0087520080993928,0.4399123841386856,0.4337748344370861,302,131,True,77420.41437900955,-0.3547511578990665,-0.7923658623358177,-0.17062517229563082
ALLE,rsi_classic,1.1561692164732866,2.215610206205829,0.0082021490154504,0.4122469739212896,0.3823529411764705,136,52,False,21561.692164732867,-0.36543225626290043,-0.9539906204381888,-0.24288568653973852
APTV,rsi_classic,-0.0025455780099944,2.4936232643050444,0.0037185443619182,0.3689253415943419,0.4025157232704403,159,64,False,9974.544219900055,-0.36764790785765566,-1.207080970099443,-0.3114123740789534
AMGN,rsi_classic,4.044893741812966,4.685888048945044,0.0077138895355722,0.3542303416001895,0.3741721854304636,302,113,False,50448.93741812966,-0.3599085440156327,-1.2929309828303506,-0.3461829838816095
ARE,rsi_classic,-0.8930168928848284,0.7915253720041049,-0.003176266000504,0.354131371240411,0.3720930232558139,301,112,False,1069.831071151715,-0.3693506341871025,-1.2935091799484417,-0.3500207349383377
A,rsi_classic,-0.5546630538287726,1.805610417034618,0.0029584409671376,0.3454052889192288,0.3940397350993377,302,119,False,4453.369461712275,-0.36870364648429127,-1.3444880352504183,-0.3563416104806778
ABBV,rsi_classic,0.8563609920390005,5.813972307343328,0.0058137629912304,0.3509304641399298,0.363013698630137,146,53,False,18563.609920390005,-0.3660055384663824,-1.312209276269375,-0.3582589649686724
AES,rsi_classic,-0.9626134558118488,-0.6340717666792609,-0.0007635096017533,0.3224886969704862,0.3698630136986301,292,108,False,373.8654418815113,-0.36948371416189263,-1.4783696079847801,-0.40641079116454976
ADM,rsi_classic,-0.5539647222819548,6.168596383864092,0.0013692803297088,0.3110202762443632,0.4086378737541528,301,123,False,4460.352777180452,-0.3687023111605233,-1.5453695444075672,-0.410766407168766
AMCR,rsi_classic,0.5055097925471682,0.1716215803816511,0.0050958891735925,0.2850798401287172,0.4155844155844156,154,64,True,15055.097925471682,-0.3666764231598177,-1.6969167898420479,-0.4528441976667934
ALGN,rsi_classic,-0.7288599359843453,21.302149244576448,0.0134009098568084,0.2584582430139663,0.3464285714285714,280,97,False,2711.4006401565475,-0.3690367393226558,-1.8524434623243828,-0.527872631922683
